,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
5625,2006,Cadillac,DTS,w/1SC,Leesburg,VA,107459,3495,Blue,Gray,17.0,25.0,4.6L V-8 Gas,Automatic,FWD,Gas,[],False,1,Personal or Rental Use,Clean,3
5626,2018,Chevrolet,Malibu,LT with 1LT,Longview,WA,20389,16749,Mosaic Black Metallic,Jet Black,27.0,36.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,2
5627,2013,BMW,5,528i Sedan,Kenner,LA,94785,12590,Bright White,Black,24.0,34.0,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
5628,2019,Toyota,Camry,LE Automatic,Sussex,NJ,7439,18888,Super White,Macadamia,28.0,39.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
5629,2012,Volkswagen,Jetta,TDI SportWagen DSG,Colorado Springs,CO,53672,9300,Silver,Black,29.0,39.0,2.0L Inline-4 Diesel Turbocharged,Automatic,FWD,Diesel,[],False,0,Fleet or Mixed Use,Clean,1
5630,2018,Nissan,Rogue,2018.5 SV AWD,Dallas,TX,34093,13874,Magnetic Black,Charcoal,24.0,30.0,2.0L Inline-4 Gas,Automatic,AWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Backup Camera', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5631,2007,Honda,Odyssey,Touring with Rear Entertainment System,Redmond,WA,169755,4950,Taffeta White,Tan,19.0,26.0,3.5L V-6 Gas,Automatic,FWD,Gas,[],False,1,Personal or Rental Use,Clean,2
5632,2017,Chevrolet,Cruze,LT with 1SD Sedan Automatic,Orlando,FL,38992,10498,Silver Ice Metallic,Jet Black,30.0,40.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,3
5633,2014,Hyundai,Tucson,SE AWD,Houston,TX,114389,7745,Graphite Gray,Taupe,20.0,25.0,2.4L Inline-4 Gas,Automatic,AWD,Gas,"['Front Heated Seats', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5634,2016,Volkswagen,Tiguan,S 4MOTION Auto,Tacoma,WA,37138,16902,Pure White,Sandstone Beige,20.0,26.0,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,"['Front Heated Seats', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5635,2015,Hyundai,Elantra,SE Sedan Automatic,Orlando,FL,87513,6500,Lakeside Blue,Gray,28.0,38.0,1.8L Inline-4 Gas,Automatic,FWD,Gas,['Cruise Control'],False,1,Fleet or Mixed Use,Clean,2
5636,2018,Chevrolet,Equinox,LT with 1LT FWD,Lutz,FL,62753,14844,Summit White,Medium Ash Gray,26.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5637,2017,Ford,Escape,SE FWD,Schaumburg,IL,25209,13450,Shadow Black,Charcoal Black,23.0,30.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5638,2011,Honda,Accord,EX-L with Navigation Sedan I4 Automatic,New Castle,DE,133453,7490,Taffeta White,Ivory,23.0,34.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Moonroof', 'Front Heated Seats', 'Bluetooth', 'Navigation', 'Cruise Control']",False,0,Personal or Rental Use,Clean,2
5639,2013,BMW,5,ActiveHybrid 5 Sedan,Winchester,TN,53035,13950,Citrin Black Metallic,Unknown,23.0,30.0,3.0L Inline-6 Hybrid Turbocharged,Automatic,RWD,Hybrid,[],False,0,Fleet or Mixed Use,Clean,4
5640,2017,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,North Riverside,IL,67038,25027,Ingot Silver Metallic,Dark Earth Gray,17.0,23.0,5.0L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
5641,2017,Ford,Escape,Titanium 4WD,Plainfield,IN,17076,19999,Shadow Black,Charcoal Black,22.0,28.0,1.5L Inline-4 Gas Turbocharged,Automatic,4WD,Gas,"['Moonroof', 'Front Heated Seats', 'Cruise Control', 'Backup Camera', 'Power Trunk/Liftgate', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth']",True,1,Personal or Rental Use,Clean,1
5642,2005,Chevrolet,Suburban,1500 LS 4WD,St. Louis,MO,217736,5490,Summit White,Unknown,14.0,18.0,5.3L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,2
5643,2015,Mercedes-Benz,GLK,GLK 350 4MATIC,Pikeville,KY,86520,13900,Black,Black,18.0,25.0,3.5L V-6 Gas,Automatic,AWD,Gas,[],False,1,Fleet or Mixed Use,Clean,2
5644,2017,Toyota,Corolla,LE CVT,Manchester,TN,20154,14173,Falcon Gray Metallic,Black,28.0,36.0,1.8L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
5645,2017,Chevrolet,Cruze,LT with 1SD Sedan Automatic,Auburn,IN,21050,13053,Silver Ice Metallic,Jet Black,30.0,40.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5646,2011,Buick,Lucerne,CXL,Chesapeake,VA,111336,4995,Crystal Red Tintcoat,Cocoa/Cashmere,17.0,27.0,3.9L V-6 Gas,Automatic,FWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Remote Engine Start', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5647,2017,Nissan,Versa,1.6 S Manual,Las Vegas,NV,37732,6995,Super Black,Charcoal,27.0,36.0,1.6L Inline-4 Gas,Manual,FWD,Gas,['Bluetooth'],False,0,Personal or Rental Use,Clean,2
5648,2017,Honda,Civic,LX Sedan CVT,Brockton,MA,23416,14631,Rallye Red,Ivory,31.0,40.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5649,2013,Volkswagen,Passat,TDI SE with Sunroof Sedan DSG,San Bernardino,CA,43286,9995,Candy White,Titan Black,30.0,40.0,2.0L Inline-4 Diesel Turbocharged,Automatic,FWD,Diesel,[],False,0,Personal or Rental Use,Clean,2
5650,2017,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Arlington,TX,31158,34587,White Platinum Metallic Tri-Coat,Black,18.0,23.0,3.5L V-6 Gas Turbocharged,Automatic,4WD,Gas,"['Moonroof', 'Front Heated Seats', 'Remote Engine Start', 'Blind Spot System', 'Bluetooth', 'Navigation', 'Front Cooled Seats', 'Cruise Control', 'Backup Camera']",False,1,Personal or Rental Use,Clean,1
5651,2003,Cadillac,Escalade,AWD,Chicago,IL,104852,4959,Sable Black,Shale,12.0,16.0,6.0L V-8 Gas,Automatic,AWD,Gas,"['Front Heated Seats', 'Cruise Control']",False,0,Personal or Rental Use,Clean,6
5652,2016,Dodge,Dart,SXT,Marshall,MN,67109,8995,Granite Crystal Metallic Clearcoat,Black,22.0,35.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,1,Fleet or Mixed Use,Clean,2
5653,2010,Ford,Focus,SE Sedan,Kingsport,TN,140432,4000,Ingot Silver Metallic,Charcoal Black,24.0,35.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,3
5654,2008,Mercedes-Benz,S-Class,S 550 RWD,Portsmouth,VA,114810,7999,Barolo Red Metallic,Brown,14.0,21.0,5.5L V-8 Gas,Automatic,RWD,Gas,[],False,0,Fleet or Mixed Use,Frame Damaged,4
5655,2015,Chevrolet,Silverado,LTZ with 1LZ Crew Cab Short Box 2WD,San Antonio,TX,77210,20993,Black,Dark Ash With Jet Black Interior Accents,16.0,23.0,5.3L V-8 Gas,Automatic,RWD,Gas,"['Navigation', 'Front Cooled Seats', 'Cruise Control', 'Bluetooth', 'Front Heated Seats', 'Remote Engine Start', 'Backup Camera']",False,1,Personal or Rental Use,Clean,1
5656,2019,Jeep,Grand,Summit 4WD,Union City,GA,26938,39233,Bright White Clearcoat,Black,18.0,25.0,3.6L V-6 Gas,Automatic,4WD,Gas,"['Moonroof', 'Navigation', 'Front Cooled Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5657,2012,Volkswagen,Passat,TDI SEL Premium DSG,Winchester,VA,121693,7000,Smoke,Unknown,30.0,40.0,2.0L Inline-4 Diesel Turbocharged,Automatic,FWD,Diesel,"['Navigation', 'Remote Engine Start', 'Bluetooth', 'Front Heated Seats', 'Cruise Control']",False,0,Personal or Rental Use,Clean,1
5658,2007,Saturn,Outlook,FWD 4dr XR,Greenacres,FL,103479,5500,Red Jewel Tintcoat,Tan,16.0,24.0,3.6L V-6 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
5659,2019,Ram,1500,"Big Horn Crew Cab 6'4"" Box 4WD",Chesterfield,MI,12021,26988,Brilliant Black Crystal Pearlcoat,Diesel Gray/Black,15.0,21.0,5.7L V-8 Gas,Automatic,4WD,Gas,[],False,1,Personal or Rental Use,Clean,1
5660,2007,Toyota,Sequoia,Limited 4WD,Houston,TX,190978,6591,Natural White,Cream,15.0,18.0,4.7L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,3
5661,2014,Chevrolet,Cruze,LT with 1LT AT,Tampa,FL,68512,7488,Summit White,Jet Black,26.0,38.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,2
5662,2017,Chevrolet,Sonic,Premier Sedan Automatic,Tomball,TX,74520,8990,Silver Ice Metallic,Dark Pewter/Dark Titanium,27.0,36.0,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Front Heated Seats', 'Cruise Control', 'Bluetooth', 'Remote Engine Start', 'Backup Camera']",False,0,Personal or Rental Use,Clean,2
5663,2018,Chevrolet,Malibu,LT with 1LT,Charlotte,NC,51122,14500,Nightfall Gray Metallic,Jet Black,27.0,36.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Remote Engine Start', 'Backup Camera', 'Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5664,2019,Toyota,Camry,SE Automatic,Chesapeake,VA,37155,18700,Super White,Black,28.0,39.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
5665,2017,Toyota,Camry,Hybrid XLE,Opelousas,LA,51975,16995,Super White,Almond,40.0,37.0,2.5L Inline-4 Hybrid,Automatic,FWD,Hybrid,[],False,0,Personal or Rental Use,Clean,1
5667,2018,Jeep,Wrangler,Unlimited Sport S (JK),Forest Park,IL,10816,27765,Black Clearcoat,Black,16.0,21.0,3.6L V-6 Gas,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth']",False,0,Personal or Rental Use,Clean,1
5668,2018,Chevrolet,Equinox,LT with 1LT FWD,Gardendale,AL,31470,16508,Storm Blue Metallic,Jet Black,26.0,32.0,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
5669,2016,Ford,F-150,XL SuperCab 6.5' Box 4WD,Glenolden,PA,27497,22995,Ingot Silver Metallic,Medium Earth Gray,17.0,23.0,3.5L V-6 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
5670,2017,Ford,Escape,Titanium 4WD,Milford,CT,33680,19497,Magnetic Metallic,Charcoal Black,22.0,28.0,2.0L Inline-4 Gas Turbocharged,Automatic,4WD,Gas,"['Moonroof', 'Navigation', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth']",True,1,Personal or Rental Use,Clean,1
5671,2009,Chevrolet,Malibu,LT with 1LT,Cedar Falls,IA,229821,2300,Black Granite Metallic,Ebony,22.0,30.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Navigation', 'Cruise Control']",False,0,Personal or Rental Use,Clean,4
5672,2018,Ford,Focus,SE Sedan,Rancho Cordova,CA,39334,9995,Shadow Black,Gray,30.0,40.0,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,2
5673,2017,Hyundai,Sonata,Base 2.4L (PZEV),Tracy,CA,119682,8799,Quartz White Pearl,Gray,25.0,36.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth']",False,1,Personal or Rental Use,Clean,2
5674,2015,Volkswagen,e-Golf,SEL Premium,Phoenix,AZ,33620,13000,Limestone Gray,Titan Black,126.0,105.0,L - Electric,Automatic,FWD,Electric,"['Navigation', 'Cruise Control', 'Bluetooth', 'Front Heated Seats', 'Backup Camera']",False,0,Personal or Rental Use,Clean,3
5675,2000,Ford,Super,"Lariat Supercab 142"" 4WD",Boaz,AL,316377,5900,White,Beige,29.0,28.69876265466814,5.4L V-8 Gas,Automatic,4WD,Gas,[],False,0,Fleet or Mixed Use,Clean,5
5676,2005,Land,Rover,HSE,Lynnwood,WA,95269,9977,Tonga Green,Sand,12.0,16.0,4.4L V-8 Gas,Automatic,4WD,Gas,[],False,1,Fleet or Mixed Use,Clean,3
5677,2012,Ford,Focus,SE Sedan,Byhalia,MS,107028,5000,Ingot Silver Metallic,Gray,26.0,36.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,3
