,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,cpo,num_accident,usage_type,title,num_owner
1323,2018,Nissan,['Altima'],2.5 SV,Floral Park,NY,50079,9388,Glacier White,Charcoal,27.0,38.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Remote Engine Start', 'Blind Spot System', 'Bluetooth', 'Cruise Control', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1324,2017,Jeep,"['Grand', 'Cherokee']",Summit 4WD,Blaine,MN,84261,24488,Granite Crystal Metallic Clearcoat,Black/Dark Sienna Brown,18.0,25.0,5.7L V-8 Gas,Automatic,4WD,Gas,"['Moonroof', 'Navigation', 'Front Cooled Seats', 'Cruise Control', 'Lane Keep Assist', 'Bluetooth', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Blind Spot System', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1325,2018,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Omak,WA,16275,32995,Ruby Red Metallic Tinted Clearcoat,Black,16.0,22.0,2.7L V-6 Gas Turbocharged,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
1326,2018,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,Morrow,GA,60067,24588,Oxford White,Medium Earth Gray,16.0,22.0,3.3L V-6 Gas,Automatic,4WD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1327,2014,BMW,"['X6', 'M']",X6 M,Fairfield,OH,70429,26999,Black Sapphire Metallic,Black,13.0,17.0,4.4L V-8 Gas Turbocharged,Automatic,AWD,Gas,[],False,1,Personal or Rental Use,Clean,2
1328,2005,Scion,['xA'],Base Automatic,Portland,OR,252000,1900,Silver,Unknown,27.0,35.0,1.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,1,Personal or Rental Use,Clean,3
1329,2007,Honda,['Odyssey'],EX,Ridgewood,NY,146863,3995,Silver Pearl Metallic,Gray,18.0,25.0,3.5L V-6 Gas,Automatic,FWD,Gas,['Cruise Control'],False,0,Personal or Rental Use,Clean,5
1330,2015,Ford,['Fusion'],SE FWD,Lakewood,CO,72219,8899,Ruby Red Tinted Clearcoat,Dune,22.0,34.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,2
1331,2016,Bentley,"['Flying', 'Spur']",V8 Sedan,Scottsdale,AZ,50000,75000,Old English White,Black,14.0,24.0,4.0L V-8 Gas Turbocharged,Automatic,AWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1332,2017,Nissan,['Versa'],Note 1.6 SV CVT,Houston,TX,40494,8000,Fresh Powder,Charcoal,31.0,39.0,1.6L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,3
1333,2014,Ford,['F-150'],XL SuperCab 8.0' Box 4WD,Richland,WA,59061,13995,White,Silver,14.0,19.0,3.5L V-6 Gas Turbocharged,Automatic,4WD,Gas,[],False,1,Personal or Rental Use,Clean,1
1334,2018,Ram,['1500'],"Harvest Crew Cab 6'4"" Box 4WD",Dulles,VA,39715,23300,Maximum Steel Metallic Clearcoat,Diesel Gray/Black,15.0,21.0,5.7L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,2
1335,2018,Hyundai,['Elantra'],SEL 2.0L Sedan Automatic,Crossville,TN,19865,13371,Phantom Black,Gray,28.0,37.0,2.0L Inline-4 Gas,Manual,FWD,Gas,"['Cruise Control', 'Backup Camera', 'Blind Spot System', 'Bluetooth']",False,1,Fleet or Mixed Use,Clean,2
1336,2017,Toyota,['Camry'],SE I4 Automatic,Wesley Chapel,FL,53070,13095,Midnight Black Metallic,Black,24.0,33.0,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1337,2019,Nissan,['Murano'],S AWD,North Attleboro,MA,10719,23492,Deep Blue Pearl,Graphite,20.0,28.0,3.5L V-6 Gas,Automatic,AWD,Gas,"['Navigation', 'Backup Camera', 'Cruise Control', 'Bluetooth']",True,0,Personal or Rental Use,Clean,1
1338,2008,Jeep,['Commander'],Sport RWD,Spring,TX,126154,5500,Bright Silver Metallic,Dark Slate Gray,14.0,19.0,3.7L V-6 Gas,Automatic,RWD,Gas,['Cruise Control'],False,0,Personal or Rental Use,Clean,3
1339,2009,Nissan,['Murano'],LE AWD,San Marcos,TX,148550,5498,Saharan Stone,Unknown,18.0,23.0,3.5L V-6 Gas,Automatic,AWD,Gas,"['Power Trunk/Liftgate', 'Cruise Control', 'Bluetooth', 'Front Heated Seats', 'Backup Camera']",False,0,Personal or Rental Use,Clean,1
1340,2017,Toyota,['RAV4'],LE AWD,Duluth,GA,47573,15250,Magnetic Gray Metallic,Black,22.0,28.0,2.5L Inline-4 Gas,Automatic,AWD,Gas,[],False,0,Fleet or Mixed Use,Clean,1
1341,2016,Toyota,['Corolla'],LE CVT,Tucson,AZ,70516,9900,Black Sand Pearl,Ash,29.0,38.0,1.8L Inline-4 Gas,Automatic,FWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1342,2010,Ford,['F-150'],XL Regular Cab 8.0' Box 4WD,Phoenix,AZ,91110,9500,Oxford White,Stone Grey,14.0,18.0,4.6L V-8 Gas,Automatic,4WD,Gas,[],False,0,Personal or Rental Use,Clean,1
1343,2017,Kia,['Optima'],LX,Birmingham,AL,100000,8350,Snow White Pearl,Black,25.0,36.0,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Fleet or Mixed Use,Clean,2
1344,2016,Lexus,['ES'],ES 350,Scottsdale,AZ,34509,19900,Nebula Gray Pearl,Black W/Linear Wood,21.0,31.0,3.5L V-6 Gas,Automatic,FWD,Gas,[],False,0,Fleet or Mixed Use,Clean,1
1345,2009,Saab,['9-7X'],AWD 4dr 4.2i,Fairfax,VA,92910,5994,Obsidian Black,Tan,14.0,20.0,4.2L Inline-6 Gas,Automatic,AWD,Gas,[],False,0,Personal or Rental Use,Clean,1
1346,2013,BMW,"['7', 'Series']",750Li,Homosassa,FL,78500,19544,Jet Black,Black,16.0,24.0,4.4L V-8 Gas Turbocharged,Automatic,RWD,Gas,[],False,0,Personal or Rental Use,Clean,2
1347,2010,Acura,['MDX'],with Technology Package,Richmond,VA,126330,8495,Gray,Gray,16.0,21.0,3.7L V-6 Gas,Automatic,AWD,Gas,"['Moonroof', 'Navigation', 'Cruise Control', 'Bluetooth', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Backup Camera']",False,1,Fleet or Mixed Use,Clean,2
1348,2016,Honda,['Civic'],LX Sedan CVT,Portland,OR,41595,11491,Crystal Black Pearl,Gray,31.0,41.0,2.0L Inline-4 Gas,Automatic,FWD,Gas,"['Cruise Control', 'Bluetooth', 'Backup Camera']",False,0,Personal or Rental Use,Clean,2
